"rgn_id","species","Year","bbmsy"
5,"Panulirus_sp",2012,0.12
5,"Panulirus_sp",2013,0.03
5,"Panulirus_sp",2014,0.01
5,"Peneius_indicus",2002,4.68
5,"Peneius_indicus",2003,3.19
5,"Peneius_indicus",2004,2.32
5,"Peneius_indicus",2005,2.05
5,"Peneius_indicus",2006,1.77
5,"Peneius_indicus",2007,1.4
5,"Peneius_indicus",2008,0.7
5,"Peneius_indicus",2009,0.31
5,"Peneius_indicus",2010,0.06
5,"Peneius_indicus",2011,0.01
5,"Peneius_indicus",2012,0
5,"Peneius_indicus",2013,0
5,"Peneius_indicus",2014,0
